./logs/33789146_command_29654.log:command id: command_29654, hostname: nid001357, cpu (hw thread id): 87
./logs/33789146_command_29646.log:command id: command_29646, hostname: nid001357, cpu (hw thread id): 81
./logs/33789147_command_29697.log:command id: command_29697, hostname: nid001772, cpu (hw thread id): 78
./logs/33789146_command_29638.log:command id: command_29638, hostname: nid001357, cpu (hw thread id): 69
./logs/33789146_command_29630.log:command id: command_29630, hostname: nid001357, cpu (hw thread id): 58
./logs/33789146_command_29622.log:command id: command_29622, hostname: nid001357, cpu (hw thread id): 59
./logs/33789146_command_29614.log:command id: command_29614, hostname: nid001357, cpu (hw thread id): 46
./logs/33789146_command_29606.log:command id: command_29606, hostname: nid001357, cpu (hw thread id): 38
./logs/33789146_command_29598.log:command id: command_29598, hostname: nid001357, cpu (hw thread id): 30
./logs/33789146_command_29689.log:command id: command_29689, hostname: nid001357, cpu (hw thread id): 119
